('BAPK01', 'Binayak Airlines', 'Kathmandu', 'Pokhara', '2026-04-02 08:07:00', '2026-04-02 08:37:00', 3900, 5625, 48, 24, 'https://images.unsplash.com/photo-1605640840605-14ac1855827b?w=400&h=280&fit=crop', 'Phewa Lake & Annapurna · Binayak Airlines', 31),
('BAPK02', 'Binayak Airlines', 'Kathmandu', 'Pokhara', '2026-04-03 10:14:00', '2026-04-03 10:44:00', 4050, 5950, 48, 28, 'https://images.unsplash.com/photo-1605640840605-14ac1855827b?w=400&h=280&fit=crop', 'Phewa Lake & Annapurna · Binayak Airlines', 32),
('BAPK03', 'Binayak Airlines', 'Kathmandu', 'Pokhara', '2026-04-04 12:21:00', '2026-04-04 12:51:00', 3975, 5925, 48, 33, 'https://images.unsplash.com/photo-1605640840605-14ac1855827b?w=400&h=280&fit=crop', 'Phewa Lake & Annapurna · Binayak Airlines', 33),
('BAPK04', 'Binayak Airlines', 'Kathmandu', 'Pokhara', '2026-04-05 14:28:00', '2026-04-05 14:58:00', 3675, 5150, 48, 37, 'https://images.unsplash.com/photo-1605640840605-14ac1855827b?w=400&h=280&fit=crop', 'Phewa Lake & Annapurna · Binayak Airlines', 29),
('BAPK05', 'Binayak Airlines', 'Kathmandu', 'Pokhara', '2026-04-06 16:35:00', '2026-04-06 17:05:00', 3750, 5175, 48, 20, 'https://images.unsplash.com/photo-1605640840605-14ac1855827b?w=400&h=280&fit=crop', 'Phewa Lake & Annapurna · Binayak Airlines', 28),
('BAPK06', 'Binayak Airlines', 'Kathmandu', 'Pokhara', '2026-04-07 06:42:00', '2026-04-07 07:12:00', 3850, 5825, 48, 24, 'https://images.unsplash.com/photo-1605640840605-14ac1855827b?w=400&h=280&fit=crop', 'Phewa Lake & Annapurna · Binayak Airlines', 34),
('BAPK07', 'Binayak Airlines', 'Kathmandu', 'Pokhara', '2026-04-08 08:49:00', '2026-04-08 09:19:00', 3925, 5425, 48, 28, 'https://images.unsplash.com/photo-1605640840605-14ac1855827b?w=400&h=280&fit=crop', 'Phewa Lake & Annapurna · Binayak Airlines', 28),
('BAPK08', 'Binayak Airlines', 'Kathmandu', 'Pokhara', '2026-04-09 10:56:00', '2026-04-09 11:26:00', 3700, 5650, 48, 33, 'https://images.unsplash.com/photo-1605640840605-14ac1855827b?w=400&h=280&fit=crop', 'Phewa Lake & Annapurna · Binayak Airlines', 35),
('BAPK09', 'Binayak Airlines', 'Kathmandu', 'Pokhara', '2026-04-10 12:03:00', '2026-04-10 12:33:00', 4000, 5600, 48, 37, 'https://images.unsplash.com/photo-1605640840605-14ac1855827b?w=400&h=280&fit=crop', 'Phewa Lake & Annapurna · Binayak Airlines', 29),
('BAPK10', 'Binayak Airlines', 'Kathmandu', 'Pokhara', '2026-04-11 14:10:00', '2026-04-11 14:40:00', 4100, 6275, 48, 20, 'https://images.unsplash.com/photo-1605640840605-14ac1855827b?w=400&h=280&fit=crop', 'Phewa Lake & Annapurna · Binayak Airlines', 35),
('BALK01', 'Binayak Airlines', 'Kathmandu', 'Lukla', '2026-04-02 08:07:00', '2026-04-02 08:42:00', 21000, 29250, 18, 9, 'https://images.unsplash.com/photo-1544735716-392fe2489ffa?w=400&h=280&fit=crop', 'Everest trailhead · Binayak Airlines', 28),
('BALK02', 'Binayak Airlines', 'Kathmandu', 'Lukla', '2026-04-03 10:14:00', '2026-04-03 10:49:00', 20600, 29450, 18, 10, 'https://images.unsplash.com/photo-1544735716-392fe2489ffa?w=400&h=280&fit=crop', 'Everest trailhead · Binayak Airlines', 30),
